genus	mean_size_bp	num_genomes
Nereida	2552988	1
Nesterenkonia	3053205	24
Nevskia	4838600	4
Nguyenibacter	4523150	2
Niabella	5409503	8
Niallia	5321943	30
Niameybacter	3155688	5
Niastella	8837124	6
Nibrella	7056258	1
Nibribacter	4352178	1
Nibricoccus	4144775	2
Nicoletella	1945534	1
Nicoliella	2053587	1
Ningiella	4740555	1
Nioella	4635959	1
Nisaea	4624681	3
Nissabacter	5004163	2
Nitratidesulfovibrio	3994896	8
Nitratifractor	2101285	1
Nitratireductor	4524358	20
Nitratiruptor	1877038	8
Nitriliruptor	4481014	2
Nitrincola	3939163	5
Nitrobacter	3823418	10
Nitrococcus	3623681	1
Nitrogeniibacter	4490835	2
Nitrosococcus	3687212	6
Nitrosomonas	2964163	39
Nitrosophilus	1890142	3
Nitrosospira	3341056	15
Nitrosovibrio	2837194	1
Nitrospina	3044814	2
Nitrospira	4114489	7
Nitrospirillum	7019808	8
Niveibacterium	4806114	4
Niveispirillum	6088614	6
Nocardia	7918138	375
Nocardioidaceae	5932109	1
Nocardioides	4672822	220
Nocardiopsis	6431415	99
Nodosilinea	6350136	4
Nodularia	5513335	13
Nonlabens	3221210	20
Nonomuraea	11034766	207
Nordella	7184314	1
Nosocomiicoccus	1624502	8
Nostoc	8331479	95
Nostocales	7899568	1
Nostocoides	3987520	8
Notoacmeibacter	3531378	1
Novacetimonas	3500143	12
Novibacillus	3629225	1
Noviherbaspirillum	5644728	14
Noviluteimonas	3347151	2
Novilysobacter	2845897	3
Novipirellula	8466290	4
Novispirillum	4377584	2
Novisyntrophococcus	3420321	1
Novosphingobium	4744294	103
Novosphingopyxis	3191507	1
Nubsella	4252742	1
Nucisporomicrobium	9022952	1
Obesumbacterium	4753076	7
Occallatibacter	6794547	1
Occultella	5756280	2
Oceanibaculum	3714711	1
Oceanicaulis	3053541	5
Oceanicella	3931061	4
Oceanicoccus	4472079	1
Oceanicola	4053376	2
Oceanidesulfovibrio	4726719	3
Oceanihabitans	3328469	3
Oceanimonas	3460340	7
Oceanipulchritudo	3520043	1
Oceaniradius	3622907	2
Oceanirhabdus	5555080	2
Oceanisphaera	3501300	8
Oceanispirochaeta	4012482	1
Oceanitalea	3531784	1
Oceanithermus	2439291	1
Oceanivirga	1815357	2
Oceanobacillus	4136953	39
Oceanobacter	4505834	1
Oceanospirillaceae	2503279	1
Oceanospirillum	4542969	4
Oceanotoga	2815703	3
Ochrobactrum	4914264	23
Octadecabacter	4095334	5
Odoribacter	4317089	80
Oecophyllibacter	1945529	1
Oenococcus	1830756	31
Oerskovia	4415446	21
Oharaeibacter	4986394	1
Ohtaekwangia	6446949	2
Okeania	9065143	17
Okeanomitos	5323117	1
Oleiagrimonas	3379958	1
Oleidesulfovibrio	3490703	4
Oleiphilus	5012889	2
Oleispira	4406383	1
Oleispirillum	3214913	1
Oligella	2561527	9
Oligoflexus	7569109	1
Oliverpabstia	3719159	6
Olivibacter	6418726	10
Olleya	3517713	8
Olsenella	2309722	29
Onion	853092	1
Onishia	3776355	3
Opitutaceae	6529219	5
Opitutus	5054244	2
Orbus	2814117	5
Orenia	3428207	3
Oribacterium	2933754	13
Oricola	4265358	3
Orientia	2211093	17
Ornithinibacillus	3695362	7
Ornithinibacter	3370148	2
Ornithinicoccus	3912525	2
Ornithinimicrobium	3601873	19
Ornithobacterium	2382339	27
Orrella	3959715	3
Oryzihumus	4231711	1
Oryzisolibacter	3842277	1
Oryzobacter	3939779	2
Oryzomicrobium	3738965	2
Oryzomonas	3617164	2
Oscillatoria	8223643	3
Oscillibacter	2997159	26
Oscillochloris	5530995	2
Oscillospiraceae	3459971	15
Otariodibacter	2008312	2
Ottowia	3884462	23
Owenweeksia	4000057	1
Oxalicibacterium	3095242	3
Oxalobacter	2413543	18
Oxalobacteraceae	7028009	1
Oxynema	6296386	2
Pacificibacter	3625036	4
Pacificimonas	3352426	1
Pacificispira	4206943	1
Pacificitalea	3946498	2
Pacificoceanicola	4979779	1
Paenacidovorax	4679990	1
Paenactinomyces	4220966	2
Paenalcaligenes	2714096	3
Paenalkalicoccus	4040495	1
Paenarthrobacter	4674015	84
Paenibacillaceae	6480259	4
Paenibacillus	6480407	825
Paeniclostridium	2952717	1
Paeniglutamicibacter	4554115	6
Paenimyroides	3148268	5
Paenirhodobacter	3466705	3
Paeniroseomonas	6499220	1
Paenisporosarcina	3423617	6
Paenochrobactrum	3541129	4
Pajaroellobacter	1821632	1
Palleronia	3884136	5
Pallidibacillus	3336568	4
Paludibacter	3497080	3
Paludibacterium	4015476	6
Paludibaculum	9532094	1
Paludicola	2937905	1
Paludisphaera	7651896	1
Panacagrimonas	5398980	1
Panacibacter	5528026	1
Pandoraea	5582093	57
Pannonibacter	4926548	12
Pantoea	4847367	537
Papillibacter	2890610	1
Parabacteroides	5161481	486
Paraburkholderia	8334648	173
Paracandidimonas	4014154	2
Parachlamydia	2828518	2
Paracholeplasma	1877792	1
Paracidobacterium	5001827	1
Paracidovorax	5356376	42
Paraclostridium	3599376	46
Paracoccaceae	5291798	2
Paracoccus	4108088	128
Paraconexibacter	5457055	2
Paracraurococcus	7041121	1
Paracrocinitomix	4365762	1
Paractinoplanes	10366461	8
Paradesertivirga	4556380	2
Paradevosia	4688192	2
Paraeggerthella	2862832	1
Parafannyhessea	2141408	8
Paraferrimonas	3837830	1
Paraflavisolibacter	7034896	2
Paraflavitalea	8645998	4
Parafrankia	8500264	4
Parafrigoribacterium	3085358	3
Parageobacillus	3685565	27
Paraglaciecola	5221926	16
Paraherbaspirillum	4722496	1
Paralcaligenes	4450628	1
Paraliobacillus	3373672	3
Paraliomyxa	11848290	1
Paralysiella	2811249	2
Paramagnetospirillum	4793484	2
Paramaledivibacter	4060624	1
Paramicrobacterium	3622339	2
Paramixta	4705628	1
Paramuribaculum	2188942	231
Paraneptunicella	4913533	1
Paranoxybacillus	3556270	1
Paraoerskovia	3150622	3
Parapedobacter	5338148	8
Paraperlucidibaca	2295583	1
Paraphotobacterium	2593992	1
Paraprevotella	4084915	11
Parapusillimonas	4642844	1
Pararcticibacter	6314794	1
Pararhizobium	5438500	5
Pararhodobacter	4265769	3
Pararhodospirillum	3876289	1
Pararobbsia	6642683	1
Pararoseomonas	5545934	3
Parasaccharibacter	2012854	2
Parascardovia	1893141	3
Parasedimentitalea	4844388	4
Parasediminibacterium	3945780	1
Parasegetibacter	4833595	1
Parashewanella	4848976	5
Parasphaerochaeta	2227296	1
Parasphingopyxis	3193446	3
Parasphingorhabdus	3399143	8
Parasutterella	2722558	52
Parasynechococcus	2434428	1
Parathalassolituus	4444085	1
Parathermosynechococcus	2659739	1
Paratractidigestivibacter	2596229	11
Paraurantiacibacter	2591679	1
Parazoarcus	4729507	2
Parcubacteria	693530	1
Paremcibacter	4168814	2
Paroceanicella	5468583	1
Parolsenella	1745919	9
Parvibacter	2277064	2
Parvibaculum	3429919	13
Parvicella	3980026	1
Parvimonas	1637774	23
Parvularcula	3165933	7
Pasteurella	2316441	378
Pasteurellaceae	2403675	3
Patulibacter	5239353	3
Paucibacter	5462566	6
Paucidesulfovibrio	3701832	1
Paucihalobacter	3276526	2
Paucilactobacillus	2286793	7
Paucimonas	5069796	2
Paucisalibacillus	4081150	2
Pauljensenia	2077458	2
Paulownia	891641	1
Pectinatus	2865123	2
Pectobacterium	4878295	362
Pediococcus	1969073	228
Pedobacter	5509735	119
Pedococcus	4254845	5
Peiella	2639644	1
Pelagerythrobacter	3154706	4
Pelagibacterium	3986173	10
Pelagibius	4666914	1
Pelagicoccus	6904628	2
Pelagihabitans	4560827	1
Pelagimonas	4926685	1
Pelagirhabdus	2527601	1
Pelagivirga	3981807	1
Pelagovum	3565580	2
Pelistega	2436116	2
Pelobacter	4241119	1
Pelodictyon	2550836	4
Pelolinea	3519728	2
Pelomicrobium	3166193	1
Pelomonas	5702156	7
Pelorhabdus	5250445	1
Pelosinus	5308450	4
Pelotomaculum	3025375	1
Pendulispora	13214008	4
Pengzhenrongella	4676864	2
Peptacetobacter	2460624	4
Peptoanaerobacter	2488505	3
Peptoclostridium	2904544	3
Peptococcaceae	2647850	2
Peptococcus	1968473	1
Peptoniphilaceae	1896391	2
Peptoniphilus	1842828	32
Peptostreptococcaceae	2367724	5
Peptostreptococcus	2055645	36
Peredibacter	4073039	2
Peribacillus	5454044	172
Peristeroidobacter	9374132	1
Periweissella	3020651	1
Permianibacter	4231462	2
Persephonella	1864440	4
Persicimonas	8047256	2
Persicirhabdus	4169785	1
Persicitalea	6413604	2
Persicobacter	7200179	2
Perspicuibacillus	3638728	1
Peterkaempfera	8055036	3
Peteryoungia	4376510	3
Petrachloros	4122371	1
Petrimonas	3080011	4
Petrocella	3518882	1
Petroclostridium	5512510	1
Petrotoga	2185525	10
Phaeobacter	4305376	70
Phaeocystidibacter	3354239	1
Phaeospirillum	4074218	1
Phaeovulum	3346012	4
Phascolarctobacterium	2290484	53
Phaseolibacter	2746431	1
Phenylobacterium	4052839	39
Phnomibacter	4271390	2
Phocaeicola	4993609	727
Phocicoccus	1660066	2
Phoenicibacter	1447956	2
Phorcysia	1621410	1
Phormidesmis	5618142	2
Phormidium	5712620	4
Photobacterium	4819305	199
Photorhabdus	5317428	96
Phototrophicus	5631885	1
Phreatobacter	5289200	4
Phycicoccus	3595402	15
Phycisphaera	3874736	2
Phycisphaerae	4324589	1
Phycobacter	4076839	1
Phyllobacterium	5238666	26
Phytoactinopolyspora	6704246	5
Phytobacter	5665095	23
Phytohabitans	10271756	6
Phytomonospora	8290965	2
Phytoplasma	559940	1
Picosynechococcus	3390502	7
Pigmentibacter	3654982	1
Pigmentiphaga	5773346	9
Pikeienuella	4373045	1
Pilibacter	2794241	1
Pimelobacter	5758113	8
Pinibacter	5918133	1
Pinirhizobacter	4458492	3
Pinisolibacter	4789677	3
Pirellula	6365168	2
Pirellulimonas	6618662	1
Pisciglobus	2437433	1
Piscinibacter	5709367	13
Piscinibacterium	3824387	1
Piscirickettsia	3485759	85
Pistricoccus	3781193	1
Planctellipticum	7276092	1
Planctobacterium	5149644	4
Planctomonas	3290868	1
Planctomyces	7613716	2
Planctomycetales	6649480	1
Planctomycetes	7280213	11
Planctopirus	5337073	2
Planifilum	3484776	2
Planktomarina	2484005	16
Planktotalea	3464209	6
Planktothricoides	7141270	2
Planktothrix	5449648	35
Planobacterium	2530306	1
Planobispora	8784946	2
Planococcaceae	3522309	1
Planococcus	3619031	38
Planomicrobium	3598390	4
Planomonospora	7800412	5
Planosporangium	5725157	1
Planotetraspora	8955903	3
Plantactinospora	8459610	10
Plantibacter	4107866	13
Plasticicumulans	4041705	5
Plastorhodobacter	4217268	1
Plautia	4092852	1
Plectonema	6588132	1
Pleionea	4230947	2
Pleomorphomonas	4990202	8
Plesiomonas	3735814	11
Pleurocapsa	5792296	4
Pluralibacter	5502133	13
Pokkaliibacter	6441806	1
Polaribacter	3655116	59
Polaromonas	4637170	28
Pollutibacter	6117590	1
Polluticaenibacter	4798914	1
Pollutimonas	4347212	3
Polyangium	12689048	4
Polycladomyces	3291929	3
Polymorphobacter	3921898	7
Polymorphospora	8213172	8
Polymorphum	4718963	1
Polynucleobacter	1960826	159
Polystyrenella	6125480	1
Pontibaca	2397933	1
Pontibacillus	4143530	7
Pontibacter	5248301	26
Pontibrevibacter	3560638	2
Ponticaulis	3595087	3
Ponticoccus	5091427	1
Pontimicrobium	3375930	2
Pontimonas	1653196	2
Pontivivens	3869412	2
Pontixanthobacter	2919892	3
Porcipelethomonas	2657141	1
Porifericola	5487627	1
Poriferisphaera	4291168	1
Porphyrobacter	3374078	6
Porphyromonadaceae	3467951	6
Porphyromonas	2337278	98
Portibacter	6308228	1
Porticoccus	2434460	3
Poseidonibacter	2987021	6
Posidoniimonas	6765537	1
Postechiella	4266044	1
Povalibacter	5594301	3
Pradoshia	3877883	2
Pragia	4028059	3
Prauserella	6299982	19
Prescottella	5276372	35
Prevotella	3123585	256
Prevotellaceae	3305478	8
Prevotellamassilia	3475353	1
Pricia	4851997	1
Priestia	5490241	391
Primorskyibacter	4513167	2
Prochlorococcus	1558828	59
Prochloron	6356138	3
Prochlorothrix	5585906	2
Prodigiosinella	4973535	3
Profundibacter	3558757	1
Prolixibacter	4939606	2
Promicromonospora	6133050	27
Promicromonosporaceae	4500574	1
Propionibacteriaceae	2731626	1
Propionibacterium	2624913	87
Propionicicella	3623963	1
Propioniciclava	3430539	6
Propionicimonas	3946155	1
Propioniferax	2794768	1
Propionigenium	4103731	1
Propionimicrobium	2530468	3
Propionispira	4134382	1
Propionispora	4293312	2
Propionivibrio	3908875	4
Prosthecobacter	6256018	8
Prosthecochloris	2451585	9
Prosthecodimorpha	6192307	1
Prosthecomicrobium	5568877	2
Protaetiibacter	2898774	4
Proteiniborus	3521432	2
Proteiniclasticum	2991393	11
Proteiniphilum	3379206	19
Proteinivorax	2962422	2
Proteobacteria	2427618	8
Proteocatella	2411055	1
Proteus	4070832	685
Protofrankia	5425256	3
Providencia	4528783	411
Pseudacidovorax	6108035	2
Pseudactinotalea	3627214	2
Pseudaeromonas	3606825	3
Pseudalgibacter	3994770	1
Pseudalkalibacillus	4529689	12
Pseudaminobacter	5624780	4
Pseudanabaena	5319664	9
Pseudaquabacterium	8039486	1
Pseudarcicella	6187917	2
Pseudarthrobacter	4423626	91
Pseudazoarcus	3225512	1
Pseudemcibacter	3369470	1
Pseudenterobacter	4511606	1
Pseudescherichia	4235345	25
Pseudidiomarina	2581396	21
Pseudoalteromonas	4700712	319
Pseudobacillus	5049664	1
Pseudobacter	7784734	2
Pseudobacteriovorax	7271010	1
Pseudobacteroides	6630821	1
Pseudobdellovibrio	3025071	2
Pseudobutyrivibrio	3176731	16
Pseudobythopirellula	5067846	1
Pseudochelatococcus	4509725	4
Pseudochrobactrum	4073444	11
Pseudocitrobacter	5033831	5
Pseudoclavibacter	3282059	24
Pseudocnuella	4804510	1
Pseudocolwellia	4722645	1
Pseudodesulfovibrio	3842911	18
Pseudodonghicola	4728486	1
Pseudoduganella	6595287	26
Pseudoflavitalea	6412206	2
Pseudoflavonifractor	3677941	26
Pseudofrancisella	1800797	1
Pseudofrankia	8559570	3
Pseudofulvibacter	3175231	1
Pseudofulvimonas	3407545	2
Pseudogemmatithrix	3259071	2
Pseudogemmobacter	4618542	4
Pseudoglutamicibacter	2148950	1
Pseudogracilibacillus	4779970	1
Pseudogulbenkiania	4432648	4
Pseudohaliea	3212303	1
Pseudohalocynthiibacter	4557782	1
Pseudohongiella	3433394	8
Pseudokineococcus	3774309	6
Pseudokordiimonas	3545352	1
Pseudolabrys	4950768	3
Pseudoleptotrichia	2285946	2
Pseudoluteimonas	2596173	1
Pseudolysinimonas	3445160	1
Pseudolysobacter	4728975	1
Pseudomaricurvus	5427463	1
Pseudomarimonas	5018834	2
Pseudomonadaceae	5030478	3
Pseudomonas	6449106	8318
Pseudoneobacillus	4674004	1
Pseudonocardia	7184700	73
Pseudooceanicola	4361636	16
Pseudooctadecabacter	3074144	2
Pseudopedobacter	4635236	1
Pseudophaeobacter	4757033	5
Pseudoprevotella	2920169	1
Pseudoramibacter	2362882	1
Pseudorhizobium	4628938	7
Pseudorhodobacter	4021892	2
Pseudorhodoferax	7337493	3
Pseudorhodoplanes	5327432	2
Pseudoroseicyclus	3458576	2
Pseudoroseomonas	5228674	10
Pseudoruegeria	5261176	2
Pseudoruminococcus	2379489	1
Pseudosporangium	8653585	1
Pseudostreptobacillus	1460484	1
Pseudosulfitobacter	4902592	48
Pseudotabrizicola	4491281	1
Pseudotenacibaculum	3587166	1
Pseudoteredinibacter	4866856	1
Pseudothauera	3361304	2
Pseudothermotoga	2102787	10
Pseudovibrio	5390315	15
Pseudoxanthobacter	4593541	2
Pseudoxanthomonas	3923998	56
Pseudozobellia	5036817	1
Psychrilyobacter	3428538	2
Psychrobacillus	4090800	27
Psychrobacter	3198970	117
Psychroflexus	2969326	15
Psychromarinibacter	5207172	1
Psychromicrobium	3599434	1
Psychromonas	4114152	16
Psychroserpens	3755899	10
Psychrosphaera	3818020	8
Puerhibacterium	3907146	1
Pueribacillus	3018360	1
Puia	7182087	1
Pukyongia	3182272	1
Pukyongiella	4262966	1
Pullulanibacillus	4801000	1
Pulveribacter	3383284	5
Puniceibacterium	4713881	2
Pusillibacter	3407680	1
Pusillimonas	3374216	16
Pustulibacterium	4209902	1
Putridiphycobacter	4038280	2
Pygmaiobacter	2815633	1
Pyramidobacter	2740976	2
Pyrinomonas	3512547	1
Pyruvatibacter	3333914	1
Pyxidicoccus	12701356	4
Qaidamihabitans	6526106	1
Qiania	3084832	1
Qingshengfaniella	3928515	1
Qipengyuania	2910631	33
Quadrisphaera	4176650	3
Quatrionicoccus	4171110	1
Quisquiliibacterium	4259983	2
Radiobacillus	3823582	2
Rahnella	5497455	33
Raineyella	3751346	4
Ralstonia	5654803	392
Ramlibacter	4821174	13
Raoultella	5843313	193
Raoultibacter	3906713	4
Raphidiopsis	3431981	1
Rapidithrix	7492102	1
Rarobacter	2466111	1
Rasiella	3388965	1
Rathayibacter	3315679	143
Ravibacter	5775379	1
Rectinema	2823438	1
Rehaibacterium	2834525	3
Reichenbachiella	4828320	5
Reinekea	3644842	8
Renibacterium	3155270	3
Reyranella	6435767	5
Rhabdobacter	6917964	1
Rhabdochlamydiaceae	1743983	1
Rhabdothermincola	3196184	1
Rheinheimera	4164189	33
Rhizobacter	5591679	10
Rhizobium	6984178	854
Rhizohabitans	8328102	1
Rhizomicrobium	4498054	2
Rhizomonospora	6704200	1
Rhizorhabdus	5337190	10
Rhizorhapis	3360228	1
Rhizosphaericola	4701441	1
Rhodanobacter	4090553	40
Rhodobacter	3859736	23
Rhodobacteraceae	4221967	10
Rhodobacterales	3320524	2
Rhodobaculum	3494249	1
Rhodobiaceae	3862255	1
Rhodobium	5147231	2
Rhodoblastus	4690361	4
Rhodocaloribacter	4502320	1
Rhodococcoides	5447531	74
Rhodococcus	6497169	506
Rhodocyclaceae	3373212	2
Rhodocyclus	3735122	2
Rhodocytophaga	9053031	2
Rhodoferax	4314443	30
Rhodohalobacter	3850234	2
Rhodoligotrophos	4813108	1
Rhodoluna	1384863	8
Rhodomicrobium	4829816	4
Rhodonellum	5204130	2
Rhodophyticola	3882560	2
Rhodopila	7248147	1
Rhodopirellula	7069050	6
Rhodoplanes	6257367	8
Rhodopseudomonas	5327333	35
Rhodosalinus	3276135	5
Rhodospira	4211331	1
Rhodospirillales	8179139	1
Rhodospirillum	4354392	7
Rhodothalassium	3341305	4
Rhodothermaceae	4653222	1
Rhodothermus	3315794	7
Rhodovarius	3739530	1
Rhodovastum	7423543	1
Rhodovibrio	4691982	3
Rhodovulum	3986032	24
Richelia	5729487	1
Rickettsia	1351080	150
Rickettsiales	1709912	3
Rickettsiella	1690860	6
Riemerella	2241932	132
Rikenella	2880076	1
Rikenellaceae	3112404	5
Rippkaea	4787694	1
Risungbinella	3421198	2
Rivibacter	3942086	1
Rivihabitans	3211161	6
Rivularia	9351728	3
Robbsia	6492589	3
Robertkochia	3528998	1
Robertmurraya	4886899	3
Robiginitalea	3368174	5
Robiginitomaculum	2769471	1
Robinsoniella	7093762	3
Rodentibacter	2430764	11
Romboutsia	2722567	73
Roseateles	5535783	28
Roseburia	3444798	100
Roseiarcus	6792213	1
Roseibaca	3488294	2
Roseibacillus	4704294	2
Roseibium	6179359	25
Roseicella	5993395	1
Roseicitreum	4251556	2
Roseiconus	8527135	1
Roseicyclus	3695917	6
Roseiflexus	5762448	2
Roseimaritima	7714552	2
Roseimicrobium	7943977	2
Roseinatronobacter	4007135	8
Roseisolibacter	5647510	2
Roseitalea	3514471	2
Roseithermus	4807988	1
Roseitranquillus	3732706	1
Roseivirga	4385253	9
Roseivivax	4291891	6
Rosenbergiella	3302530	20
Roseobacter	4485770	10
Roseococcus	4251797	4
Roseofilum	5376040	1
Roseomonas	5099823	38
Roseospira	4474872	4
Roseospirillum	3497210	1
Roseovarius	4216670	38
Rosistilla	7418852	4
Rossellomorea	4463226	29
Rothia	2401334	119
Rouxiella	5054477	11
Ruania	4345556	4
Rubellicoccus	5798774	1
Rubellimicrobium	4298535	4
Rubinisphaera	6355540	2
Rubricella	3243171	1
Rubricoccus	4430441	1
Rubrimonas	3839823	1
Rubripirellula	7832405	4
Rubritalea	3668936	6
Rubritepida	3834117	1
Rubrivirga	4730752	2
Rubrivivax	5847418	5
Rubrobacter	3438734	9
Rudaea	4343639	1
Rudanella	6546036	1
Ruegeria	4486260	24
Rufibacter	5148525	23
Ruficoccus	3759138	1
Rugamonas	6786999	6
Rugosibacter	2934611	1
Rugosimonospora	9819264	1
Ruicaihuangia	2638237	2
Ruixingdingia	4695409	1
Ruminiclostridium	5132250	6
Ruminobacter	2838365	2
Ruminococcaceae	3054646	16
Ruminococcus	3114084	362
Rummeliibacillus	3857429	12
Runella	7430806	10
Ruoffia	2404805	7
Rurimicrobium	3418299	1
Ruthenibacterium	3837518	29
SAR324	2211215	2
SAR86	1163376	4
Sabulibacter	6162158	1
Sabulicella	4829208	1
Saccharibacillus	5374700	8
Saccharibacter	2384067	1
Saccharicrinis	5214916	5
Saccharobesus	5871129	1
Saccharococcus	3870057	6
Saccharomonospora	4813899	16
Saccharophagus	5111521	3
Saccharopolyspora	7783330	48
Saccharospirillum	4111030	12
Saccharothrix	9076096	27
Saezia	3275784	1
Sagittula	5279200	5
Salaquimonas	3357577	1
Salegentibacter	3780163	21
Salibacter	2501653	1
Salibacterium	3684858	5
Salibaculum	2774303	3
Salicibibacter	3930866	4
Salicola	3178327	1
Salidesulfovibrio	3886744	1
Salimicrobium	2762599	7
Salinactinospora	5882011	1
Salinarimonas	5111802	4
Salinibacillus	4800853	3
Salinibacter	3858179	44
Salinibacterium	3011794	12
Salinibius	3700607	1
Salinicoccus	2582485	12
Salinicola	4227886	23
Salinihabitans	4088599	1
Salinimicrobium	3595325	10
Salinimonas	4090993	6
Salininema	5018321	1
Saliniradius	3214946	1
Salinisphaera	4141708	1
Salinispira	3782798	1
Salinispirillum	3402750	3
Salinispora	5509675	25
Salinithrix	3299850	1
Salinivibrio	3455195	20
Salinivirga	4812386	1
Salipaludibacillus	4697844	4
Salipiger	5455992	15
Salirhabdus	3380756	2
Salisediminibacterium	3050841	4
Saliterribacillus	3763507	1
Salmonella	4859101	8409
Salsipaludibacter	4246067	1
Salsuginibacillus	3831781	1
Samsonia	3876203	2
Sandaracinobacter	2677066	1
Sandaracinobacteroides	3572021	3
Sandaracinus	10645566	2
Sandarakinorhabdus	2888881	7
Sangeribacter	3697286	2
Sanguibacter	3601844	8
Sanguibacteroides	3379018	2
Sansalvadorimonas	4841513	1
Sanyastnella	4097636	1
Saonia	3801316	1
Sapientia	4430078	1
Saprospira	4359480	4
Saprospirales	4951352	1
Sarcina	2873182	5
Savagea	2559573	1
Saxibacter	4048523	1
Scandinavium	4869136	6
Scardovia	1667440	4
Schaalia	2310949	28
Schaedlerella	5033733	3
Schauerella	5404080	3
Schinkia	4599988	21
Schleiferia	2573604	2
Schleiferilactobacillus	3180823	9
Schlesneria	7643572	3
Schumannella	3479124	2
Schwartzia	2575822	2
Sciscionella	7978397	2
Scopulibacillus	3686635	3
Scrofimicrobium	2221980	1
Scytonema	9376093	8
Sebaldella	4486650	1
Secundilactobacillus	2969510	17
Sedimentibacter	3588352	14
Sedimenticola	4276390	3
Sedimentimonas	3082363	1
Sedimentisphaera	3069065	3
Sedimentitalea	4469363	3
Sediminibacillus	4040466	6
Sediminibacterium	3616686	11
Sediminicoccus	5024808	2
Sediminicola	4067912	2
Sediminimonas	3257970	3
Sediminispirochaeta	4615288	2
Sediminitomix	6603976	1
Segatella	3592890	70
Segetibacter	6107890	1
Segniliparus	3372578	2
Seinonella	3844441	1
Selenihalanaerobacter	2840584	1
Seleniivibrio	2906047	1
Selenobaculum	2679003	1
Selenomonas	2632224	53
Sellimonas	3293923	15
Senegalia	2874011	1
Senegalimassilia	2398022	2
Seohaeicola	4736102	4
Seonamhaeicola	3935268	7
Seongchinamella	4193411	1
Seramator	2818246	1
Serinicoccus	3491768	9
Serpens	3912471	1
Serpentinicella	2852722	3
Serpentinimonas	2563167	3
Serratia	5277014	1146
Sharpea	2035102	21
Shewanella	4807454	386
Shiella	3785210	1
Shigella	4674565	1809
Shimazuella	4185101	1
Shimia	4021856	5
Shimwellia	4155244	3
Shinella	6025629	36
Shivajiella	4910349	1
Shouchella	4243812	39
Shumkonia	5388687	1
Shuttleworthella	2169477	1
Siansivirga	3303986	1
Siccibacter	4173824	5
Siccirubricoccus	6389298	3
Sideroxyarcus	2738141	1
Sideroxydans	3388256	2
Silanimonas	2510828	2
Silicimonas	4344696	2
Silvanigrella	3681364	2
Silvibacterium	6456013	2
Silvimonas	4632527	3
Simiaoa	3572951	1
Simiduia	4191635	6
Siminovitchia	4290107	23
Simkania	2628375	1
Simonsiella	2441623	3
Simplicispira	3751675	6
Simulacricoccus	6926196	1
Sinanaerobacter	4074577	2
Singulisphaera	10110964	3
Sinimarinibacterium	3972719	5
Sinirhodobacter	4130092	5
Sinisalibacter	3648224	1
Sinobaca	3403958	1
Sinobacterium	4398449	1
Sinomicrobium	5249205	3
Sinomonas	4132749	15
Sinorhizobium	6964701	177
Sinosporangium	7975149	2
Siphonobacter	5829742	2
Skermanella	7259825	4
Skermania	4230116	1
Slackia	2452505	9
Smithella	1634582	2
Sneathia	1319519	8
Sneathiella	3782386	7
Snodgrassella	2394167	54
Snuella	4496054	2
Sodalinema	4866307	1
Sodaliphilus	3340670	1
Sodalis	4099021	8
Sodalis-like	1325495	2
Solemya	2597391	38
Solibacillus	3961292	18
Solibaculum	2541474	1
Solicola	4915857	1
Solidesulfovibrio	4823852	4
Solihabitans	9295578	1
Solilutibacter	2592821	1
Solimonas	4584001	6
Solirubrobacter	8015433	3
Solitalea	4289387	5
Solobacterium	2181380	6
Solwaraspora	6736669	6
Soonwooa	2835965	4
Sorangium	13279153	8
Spartinivicinus	6756000	2
Spartobacteria	4745694	1
Specibacter	3984867	4
Sphaerimonospora	6226927	1
Sphaerisporangium	8864003	20
Sphaerobacter	3931202	2
Sphaerochaeta	2938416	13
Sphaerospermopsis	5653602	3
Sphaerothrix	6231299	1
Sphaerotilus	4650848	9
Sphingobacteriaceae	6182066	1
Sphingobacterium	5471474	185
Sphingobium	4828813	120
Sphingomicrobium	2254582	7
Sphingomonadales	4190298	1
Sphingomonas	4014033	274
Sphingopyxis	4273669	50
Sphingorhabdus	2835032	19
Sphingosinicella	4116954	8
Sphingosinithalassobacter	3526818	2
Spinactinospora	6666556	1
Spiractinospora	5864354	1
Spiribacter	2189318	18
Spirilliplanes	6512617	1
Spirillospora	9133256	10
Spirobacillus	2806830	1
Spirochaeta	3446112	6
Spiroplasma	1428347	103
Spirosoma	7553659	27
Spirosomataceae	5461565	1
Spirulina	5031303	4
Spongiibacter	3644601	15
Spongiimicrobium	4869906	2
Spongisporangium	4867711	1
Sporanaerobacter	2912784	1
Sporichthya	5075393	3
Sporobacter	4198214	1
Sporocytophaga	6488219	2
Sporolactobacillus	3287327	15
Sporolituus	2861023	1
Sporomusa	5454066	17
Sporomusaceae	4072309	1
Sporosarcina	3787104	51
Sporotomaculum	3352116	1
Stackebrandtia	5901235	4
Stakelama	3286366	2
Stanieria	5504149	2
Staphylococcaceae	2529799	1
Staphylococcus	2772133	13381
Staphylospora	2751094	1
Stappia	4693164	7
Starkeya	5560751	2
Stella	5490058	4
Stenomitos	6984011	2
Stenotrophomonas	4607989	839
Stenoxybacter	2609584	1
Steroidobacter	7240302	4
Sterolibacterium	2027720	2
Stieleria	9363629	7
Stigmatella	10260756	1
Stomatobaculum	2232532	2
Stomatohabitans	2166697	2
Stratiformator	5228745	1
