genus	mean_size_bp	num_genomes
Bizionia	3206541	5
Blastochloris	3781021	4
Blastococcus	4588553	15
Blastomonas	3762177	8
Blastopirellula	6678293	5
Blattabacterium	620665	92
Blautia	4059609	292
Blochmannia	779273	14
Bombella	1922000	4
Bombilactobacillus	1713690	11
Bombiscardovia	1937113	1
Bordetella	4135026	1142
Borrelia	1251771	95
Borreliella	1070550	230
Bosea	5860172	46
Boseongicola	3444075	1
Botrimarina	5153954	3
Boudabousia	2026093	3
Bovifimicola	3027291	1
Bowdeniella	2631064	2
Bowmanella	5174037	5
Brachybacterium	3764675	53
Brachymonas	2454572	6
Brachyspira	2899731	60
Brackiella	1922095	1
Bradymonadaceae	5366856	1
Bradymonadales	5357521	1
Bradymonas	5025887	2
Bradyrhizobiaceae	4336393	1
Bradyrhizobium	8615420	451
Brasilonema	7854294	9
Bremerella	6620785	4
Brenneria	4906432	16
Breoghania	4663597	3
Brevefilum	2574431	1
Brevibacillus	5728670	133
Brevibacterium	3789465	100
Brevinema	1501400	1
Brevirhabdus	3380897	2
Brevundimonas	3217309	187
Breznakia	2461343	1
Breznakibacter	4380952	1
Breznakiella	4646109	1
Brochothrix	2540004	14
Brockia	1879126	1
Brooklawnia	3406118	4
Brotomerdimonas	2648172	1
Brotonthovivens	3452403	1
Brucella	3585090	568
Brucepastera	3239032	1
Brumimicrobium	3635107	2
Brunnivagina	7006470	1
Bryobacterales	6692160	1
Buchananella	2424492	7
Buchnera	546768	135
Budvicia	5668731	1
Bulleidia	1545033	1
Burkholderia	7255667	2241
Burkholderiaceae	7586503	2
Burkholderiales	3283520	9
Buttiauxella	5071888	9
Butyribacter	3595726	4
Butyricicoccus	3092506	28
Butyricimonas	4957396	52
Butyrivibrio	4098505	48
Bythopirellula	6308460	2
Caballeronia	7600200	36
Caecibacter	2650542	1
Caedibacter	1323505	1
Caenibius	3924783	2
Caenimonas	4704954	3
Caenispirillum	5034490	3
Caldalkalibacillus	3143339	3
Caldanaerobacter	2503084	3
Caldanaerobius	2630314	2
Caldanaerovirga	2264710	1
Calderihabitans	3064849	1
Caldibacillus	3689644	8
Caldicellulosiruptor	2712359	15
Caldichromatium	2989870	1
Caldicoprobacter	2579145	1
Caldifermentibacillus	3919359	16
Caldilinea	5361582	5
Caldimicrobium	1814952	1
Caldimonas	4097735	14
Caldinitratiruptor	3599694	1
Caldisericum	1558103	1
Calditerrivibrio	2216552	1
Caldithrix	4966990	2
Caldovatus	4797000	1
Calidifontibacillus	3575797	1
Calidifontibacter	3493290	1
Calidithermus	3939796	2
Caloramator	2772151	6
Caloranaerobacter	2500712	2
Calothrix	9229155	15
Calycomorphotria	5163473	1
Camelimonas	4525323	3
Camelliibacillus	3536314	1
Caminibacter	1778726	2
Caminicella	2478090	2
Campylobacter	1728582	2129
Candidatus	1825210	871
Candidimonas	4713901	1
Canicola	2296682	1
Capillimicrobium	5953270	1
Capnocytophaga	2717411	71
Caproicibacter	3763880	2
Caproicibacterium	2371857	6
Caproiciproducens	3265727	4
Capsulimonas	7645051	1
Carbonactinospora	5014930	1
Carboxydocella	2679808	4
Carboxydochorda	3313549	1
Carboxydothermus	2423937	4
Carboxylicivirga	5435563	1
Cardidatus	1956558	1
Cardinium	1112480	7
Cardiobacterium	2602579	8
Carnobacterium	3003827	56
Casaltella	2375244	1
Casimicrobium	4465898	1
Castellaniella	3106562	34
Catalinimonas	7495478	3
Catellatospora	8894449	17
Catelliglobosispora	7688589	1
Catenibacillus	3872981	1
Catenibacterium	2610887	27
Catenisphaera	1998595	1
Catenovulum	4741930	4
Catenulispora	10704064	3
Catenuloplanes	9528617	2
Catonella	3479204	1
Caulifigura	6761146	1
Caulobacter	4915539	43
Cecembia	4747752	1
Cedecea	5002491	15
Celeribacter	3934248	18
Celerinatantimonas	3987286	2
Cellulomonas	4020525	68
Cellulophaga	4249758	22
Cellulosilyticum	4782215	3
Cellulosimicrobium	4438031	49
Cellvibrio	4787229	15
Centipeda	2761262	1
Cerasibacillus	2792598	1
Cerasicoccus	4127780	2
Cereibacter	4547250	29
Cesiribacter	6791086	1
Cetobacterium	2546922	24
Chachezhania	5318300	2
Chakrabartia	2938868	2
Chakrabartyella	3403101	1
Chamaesiphon	6761765	1
Changchengzhania	4130958	1
Changpingibacter	2661583	1
Chania	5488183	1
Chelativorans	4566025	6
Chelatococcus	5038362	9
Chenggangzhangella	5527513	2
Chiayiivirga	4067001	1
Chimaeribacter	4927708	2
Chishuiella	3382974	6
Chitinasiproducens	5363581	1
Chitinibacter	3494242	7
Chitinilyticum	3826998	2
Chitinimonas	4797654	8
Chitiniphilus	4250083	4
Chitinivorax	4412880	2
Chitinolyticbacter	4325960	1
Chitinophaga	7391680	70
Chitinophagaceae	3705502	2
Chlamydia	1103191	527
Chlamydiales	1114738	2
Chlamydiifrater	1203946	5
Chlamydophila	1160112	1
Chloracidobacterium	3719483	10
Chlorobaculum	2449823	5
Chlorobium	2332878	7
Chloroflexi	842801	1
Chloroflexia	6761922	1
Chloroflexus	4845635	9
Chlorogloea	5226129	2
Chlorogloeopsis	7772116	4
Chloroherpeton	3293456	1
Chondrinema	10142296	1
Chondrocystis	5002520	1
Chondromyces	11388132	1
Chordicoccus	3267205	1
Christensenella	2794353	12
Christensenellaceae	3026655	1
Christiangramia	3589463	16
Chromatium	3685971	3
Chromobacterium	4917332	62
Chromohalobacter	3563522	9
Chroococcidiopsis	7443140	6
Chryseobacterium	4677145	287
Chryseoglobus	2544477	1
Chryseolinea	7801450	5
Chryseomicrobium	2684735	3
Chryseosolibacter	6924231	2
Chrysiogenes	2825161	1
Chthoniobacter	7820978	2
Chthonobacter	4644500	1
Chthonomonas	3438022	4
Chungangia	3062254	1
Ciceribacter	4938960	10
Citreicella	5267418	2
Citreimonas	3907388	2
Citricoccus	3636393	17
Citrifermentans	4574890	3
Citrobacter	5191569	1332
Citromicrobium	3258499	1
Citroniella	1860670	1
Claveliimonas	3152416	4
Clavibacter	3294129	59
Cloacibacillus	3362439	9
Cloacibacterium	2809551	13
Clostridia	3476686	3
Clostridiaceae	3532821	44
Clostridiales	3671728	32
Clostridiisalibacter	3250627	1
Clostridioides	4156256	1617
Clostridium	3690633	1373
Cnuella	5696047	1
Cnuibacter	4169103	3
Cobetia	4103200	23
Cochlodiniinecator	3702221	1
Cocleimonas	4491576	1
Cognaticolwellia	4320872	5
Cognatiluteimonas	2645303	4
Cognatilysobacter	3208025	3
Cognatishimia	3308169	6
Cohaesibacter	5113671	5
Cohnella	6850107	39
Coleofasciculus	7367530	2
Collimonas	5307089	12
Collinsella	2255123	357
Colwellia	4493676	20
Comamonadaceae	3078576	1
Comamonas	4935249	105
Commensalibacter	1970604	17
Companilactobacillus	2572138	50
Compostibacillus	3376322	1
Conchiformibius	2144034	5
Conexibacter	4960009	7
Confluentibacter	4136527	1
Congregibacter	4049752	3
Consotaella	5034810	2
Constantimarinum	2987299	1
Convivina	1600079	1
Conyzicola	3336228	1
Coprobacillus	3013095	60
Coprobacter	3721171	8
Coprococcus	3256018	127
Coprothermobacter	1424644	2
Coraliomargarita	3859316	3
Corallibacter	2928006	1
Corallincola	4271466	2
Coralliovum	3918007	1
Corallococcus	9132399	14
Coralloluteibacterium	3855379	2
Coriobacteriaceae	2285958	27
Coriobacteriales	1698073	1
Coriobacterium	2115681	1
Corticibacter	4198928	1
Corynebacteriaceae	2772217	3
Corynebacterium	2560457	1072
Costertonia	3910334	1
Couchioplanes	7832397	4
Coxiella	1951951	70
Coxiella-like	1167191	4
Crassaminicella	3476205	3
Crateriforma	7182630	3
Craterilacuibacter	3218671	1
Craurococcus	5434719	1
Crenalkalicoccus	4431246	1
Crenobacter	3890833	5
Crinalium	5620407	1
Croceibacter	2936870	3
Croceibacterium	3560032	7
Croceicoccus	3740883	8
Croceimicrobium	4035598	1
Croceivirga	3650018	3
Crocinitomix	4622888	1
Crocosphaera	5471327	8
Cronbergia	5780393	1
Cronobacter	4500734	354
Crossiella	9932719	5
Cruoricaptor	2098437	2
Cryobacterium	3855327	40
Cryocola	4090615	1
Cryomorphaceae	2891733	1
Cryptobacterium	1617804	1
Cryptosporangium	9274835	7
Cucumibacter	3713661	1
Culturomica	4216829	3
Cumulibacter	3904919	1
Cuneatibacter	3462725	1
Cupriavidus	6858975	141
Curtobacterium	3750344	162
Curvibacter	5240117	8
Curvivirga	3561564	1
Cuspidothrix	4547138	1
Cutibacterium	2512886	159
Cyanobacterium	3931928	8
Cyanobium	3012910	8
Cyanosarcina	7549128	1
Cyclobacterium	5908674	9
Cycloclasticus	2429526	5
Cyclonatronum	4294247	1
Cylindrospermopsis	3834300	24
Cylindrospermum	7610589	1
Cypionkella	3389650	5
Cysteiniphilum	3122368	9
Cystobacter	12144648	3
Cytobacillus	5076128	80
Cytophaga	4411374	3
Cytophagales	5391770	1
Dactylococcopsis	3781008	1
Dactylosporangium	11760010	37
Daeguia	3246030	1
Daejeonella	3960698	7
Dankookia	6477719	1
Danxiaibacter	7287640	1
Dasania	4104988	1
Dawidia	7400250	2
Dechloromonas	3998583	12
Deefgea	3568399	4
Deferribacter	2542933	1
Defluviicoccus	4226795	1
Defluviimonas	4164090	7
Defluviitalea	2777186	2
Defluviitoga	2053097	1
